NAICS_CODE,PRIMARY_INDICATOR,SOURCE_OF_DATA,CODE_DESCRIPTION,PGM_SYS_ACRNM,REGISTRY_ID,LOCATION_ADDRESS,CITY_NAME,COUNTY_NAME,FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_NAME,POSTAL_CODE,EPA_REGION_CODE,INTEREST_STATUS_CODE,LOCATION_DESCRIPTION,STD_LOC_ADDRESS,STD_HOUSE_NUMBER,STD_STREET_NAME,STD_PREFIX,STD_SUFFIX,STD_STYPE_BEFORE,STD_STYPE_AFTER,STD_POSTAL_CODE,STD_STATE_CODE,STD_CITY_NAME,STD_COUNTY_NAME,STD_COUNTY_FIPS,LATITUDE,LONGITUDE,HDATUM_DESC,COLLECT_DESC,REF_POINT_DESC,SOURCE_DESC,SCALE,,,,
562920,SECONDARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110014170324,13S/31E/S36,CANYON CITY,GRANT,41023,OR,OREGON,USA,97820,10,A, ,,,,,,,,97820,OR,CANYON CITY,GRANT,41023,44.3958,-118.9291,NAD83,,,,,,,,
562920,PRIMARY,NJ-NJEMS,MATERIALS RECOVERY FACILITIES.,NJ-NJEMS,110004151499,4711 DELL AVE,NORTH BERGEN,HUDSON,34017,NJ,NEW JERSEY,USA,7047,2,A,,4711 DELL AVE,4711,DELL AVE,,,,AVE,7047,NJ,NORTH BERGEN,HUDSON,34017,40.786124,-74.034745,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,FDM,MATERIALS RECOVERY FACILITIES.,FDM,110031397888,608 N 19TH ST,TAMPA,HILLSBOROUGH,12057,FL,FLORIDA,USA,336056007,4,A,,608 N 19TH ST,608,N 19TH ST,N,,,ST,33605,FL,TAMPA,HILLSBOROUGH,12057,27.9529,-82.43819,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,,,,
562920,UNKNOWN,WI-ESR,MATERIALS RECOVERY FACILITIES.,WI-ESR,110022532026,7624 S 10TH ST,OAK CREEK,MILWAUKEE,55079,WI,WISCONSIN,USA,53154,5,A,,7624 S 10TH ST,7624,S 10TH ST,S,,,ST,53154,WI,OAK CREEK,MILWAUKEE,55079,42.906769,-87.927104,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,,,,
562920,UNKNOWN,WI-ESR,MATERIALS RECOVERY FACILITIES.,WI-ESR,110000418959,5311 S 9TH ST,MILWAUKEE,MILWAUKEE,55079,WI,WISCONSIN,USA,532213630,5,A,,5311 S 9TH ST,5311,S 9TH ST,S,,,ST,53221,WI,MILWAUKEE,MILWAUKEE,55079,42.949079,-87.923488,NAD83,ADDRESS MATCHING-HOUSE NUMBER,PLANT ENTRANCE (GENERAL),,100000,,,,
562920,PRIMARY,EIS,MATERIALS RECOVERY FACILITIES.,EIS,110021273290,455 E MIDDLEFIELD ROAD,MOUNTAIN VIEW,SANTA CLARA,6085,CA,CALIFORNIA,USA,94043-4047,9,A,,455 E MIDDLEFIELD RD,455,E MIDDLEFIELD RD,E,,,RD,94043,CA,MOUNTAIN VIEW,SANTA CLARA,6085,37.39622,-122.05524,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110014206117,1400 SE BUTLER BRIDGE ROAD,TOLEDO,LINCOLN,41041,OR,OREGON,USA,97391-1900,10,A,GEORGIA PACIFIC CORP TOLEDO CREATED BY LOAD OF EPA FINDS IDS,1400 SE BUTLER BRIDGE RD,1400,SE BUTLER BRIDGE RD,SE,,,RD,97391,OR,TOLEDO,LINCOLN,41041,44.6122,-123.933,NAD83,INTERPOLATION-SATELLITE,FACILITY CENTROID,,,,,,
562920,PRIMARY,OR-DEQ,MATERIALS RECOVERY FACILITIES.,OR-DEQ,110034177147,17498 CARPENTERVILLE RD, SEC25,T40S,R14W,BROOKINGS,CURRY,41015,OR,OREGON,USA,97415,10,A,THE FACILITY CAN BE ACCESSED VIA THE  HIGHWAY,17498 CARPENTERVILLE RD,17498,CARPENTERVILLE RD,,,,RD,97415,OR,BROOKINGS,CURRY,41015,42.08167,-124.31204,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,
562920,PRIMARY,AIRS/AFS,MATERIALS RECOVERY FACILITIES.,AIRS/AFS,110038948333,S5-T8S-R6E,LEONARDVILLE,RILEY,20161,KS,KANSAS,USA,66449,7,A,,,,,,,,,66449,KS,LEONARDVILLE,RILEY,20161,,,,,,,,,,,
562920,UNKNOWN,AZURITE,MATERIALS RECOVERY FACILITIES.,AZURITE,110002602229,5200 W INA RD,TUCSON,PIMA,4019,AZ,ARIZONA,USA,85743,9,A,,5200 W INA RD,5200,W INA RD,W,,,RD,85743,AZ,TUCSON,PIMA,4019,32.33759,-111.075196,NAD83,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,EIS,MATERIALS RECOVERY FACILITIES.,EIS,110001188900,499 HIGH STREET,OAKLAND,ALAMEDA,6001,CA,CALIFORNIA,USA,94601-3903,9,A,,499 HIGH ST,499,HIGH ST,,,,ST,94601,CA,OAKLAND,ALAMEDA,6001,37.76648,-122.22263,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,,,,
562920,PRIMARY,AIRS/AFS,MATERIALS RECOVERY FACILITIES.,AIRS/AFS,110037575139,645 W 53RD PL,DENVER,ADAMS,8001,CO,COLORADO,USA,802161600,8,A,,645 W 53RD PL,645,W 53RD PL,W,,,PL,80216,CO,DENVER,DENVER,8031,39.79613,-104.99402,NAD83,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,,,,,,
